country,source_entity,action,target_entity
AUS,The Australian Government,establish,National Reconstruction Fund
AUS,"Quantum Technology
•",use,Challenge
CAN,Xanadu,launch,PennyLane
CAN,The Government of Canada,support,Development Initiative
CAN,the Government of Canada,launch,Deep Tech Venture Fund
CAN,ISC,enable,the Government of Canada
CAN,TCS,support,NQS
FRA,La France,dan,"l’autonomie
stratégique de l’Europe"
FRA,Cette,plateforme,Hardware
GER,Quantum,compute,Terminology
GER,Bundestag,print,IBM
GER,Quantentechnologien,access,M cKinsey & Company
KOR,KRISS,introduce,"The Korea Quantum Computing
Industry Leaders' Alliance Commencement"
