original_doc_index,entity_name,ner_label,quadruple_helix_category
0,Canada,GPE,
0,Next,ORG,
0,The National Quantum Strategy,ORG,
0,NQS,ORG,
0,Government of Canada,ORG,
0,• Make Canada,ORG,
0,Canadian,NORP,
0,Canadians,NORP,
0,Quantum,ORG,
0,• Enable the Government of Canada,ORG,
0,The Government of Canada,ORG,
0,• Research,ORG,
0,• Talent,ORG,
0,• Commercialization,ORG,
0,the National Research Council,ORG,
0,NRC,ORG,
0,quantum,ORG,
0,Xanadu,ORG,
0,PennyLane,ORG,
0,the • Government – Funding,ORG,
0,• Academia,ORG,
0,• Industry,ORG,
0,• Quantum,ORG,
0,Communications,ORG,
0,Software,ORG,
0,quantum physics knowledge,ORG,
0,Stakeholders,NORP,
0,IP,ORG,
0,the Government of Canada,ORG,
0,Sciences and Humanities Research Council,ORG,
0,SSHRC,ORG,
0,"National
Quantum Strategy",ORG,
0,National Quantum,ORG,
0,The Canada Foundation for Innovation,ORG,
0,Budget 2022,ORG,
0,STRATEGY,ORG,
0,the Bank of Canada,ORG,
0,The Standards Council of Canada,ORG,
0,Innovative Solutions Canada,ORG,
0,ISC,ORG,
0,Quantum Computing,ORG,
0,• Give Canadian,ORG,
0,• Invest,ORG,
0,• Convene,ORG,
0,• De-risk,PERSON,
0,• Identify,ORG,
0,quantum computing,ORG,
0,"the Communications
Security Establishment",ORG,
0,Secure Networks Challenge Program,ORG,
0,the Quantum Encryption and Science,ORG,
0,• Develop,ORG,
0,quantum technologies break,ORG,
0,the Government of Canada Work,ORG,
0,Department of National Defence,ORG,
0,Sensor Challenge,ORG,
0,• Make,ORG,
0,Talent and Commercialization,ORG,
0,Canada First Research Excellence Fund,ORG,
0,The Canadian Space Agency’s,ORG,
0,quantum communications,ORG,
0,the Natural Sciences and Engineering,ORG,
0,Research Council of Canada,ORG,
0,NSERC,ORG,
0,the University of Waterloo,ORG,
0,Quebec,GPE,
0,Ontario,GPE,
0,Alberta,GPE,
0,British,NORP,
0,Columbia,GPE,
0,the Perimeter Institute,ORG,
0,the Quantum Valley Ideas Lab,ORG,
0,CFI,ORG,
