original_doc_index,entity_name,ner_label,quadruple_helix_category
0,AI,ORG,
0,Alliance,ORG,
0,Alliance International,ORG,
0,Alliance Quantum,ORG,
0,Anyon Systems,ORG,
0,"Applied Quantum Computing 
Challenge",ORG,
0,Applied Quantum Computing Challenge,ORG,
0,BDC,ORG,
0,BDC Deep Tech Venture Fund,ORG,
0,Bachelor,ORG,
0,Budget 2022,ORG,
0,"Business Development 
Bank of Canada",ORG,
0,CED,ORG,
0,CFI,ORG,
0,CFREF,ORG,
0,CSE,ORG,
0,Canada Economic Development,ORG,
0,Canada Excellence Research Chairs Program,ORG,
0,Canada First Research Excellence Fund,ORG,
0,Canada Foundation,ORG,
0,Canada Trade Commissioner Service,ORG,
0,"Canadian 
International Innovation Program",ORG,
0,Canadian Coast Guard,ORG,
0,Canadian Institute for Advanced Research CIFAR,ORG,
0,Canadian International Innovation Program,ORG,
0,"Canadian Space 
Agency",ORG,
0,Canadian Space Agency,ORG,
0,Consortia Quantum,ORG,
0,Council,ORG,
0,"Creative Destruction 
Lab",ORG,
0,D-Wave,ORG,
0,DND,ORG,
0,DRDC,ORG,
0,Deep Tech Venture Fund,ORG,
0,"Defence Research and Development 
Canada",ORG,
0,Department of National Defence (DND,ORG,
0,EDI,ORG,
0,ESDC,ORG,
0,Economic Development Canada,ORG,
0,FedDev Ontario,ORG,
0,Federal Economic Development Agency,ORG,
0,Federal Skilled Trades Program,ORG,
0,Federal Skilled Worker Program,ORG,
0,Federal department programming,ORG,
0,GAC,ORG,
0,Global Affairs,ORG,
0,Global Affairs Canada,ORG,
0,Global Innovation Clusters,ORG,
0,Global Talent Occupations List,ORG,
0,Global Talent Stream,ORG,
0,Government of Canada,ORG,
0,Humanities Research Council,ORG,
0,IBM,ORG,
0,IBM Quantum Hub,ORG,
0,IP,ORG,
0,IQC,ORG,
0,IRAP,ORG,
0,ISC,ORG,
0,ITB,ORG,
0,"Immigration, Refugees and Citizenship 
Canada",ORG,
0,Industrial Research Assistance Program,ORG,
0,Industrial and Technological Benefits,ORG,
0,Innovation Fund,ORG,
0,Innovation for Defence Excellence,ORG,
0,"Innovation, Science",ORG,
0,"Innovation, Science and Economic 
Development Canada",ORG,
0,Innovative Solutions Canada,ORG,
0,Institut Quantique,ORG,
0,Institute for,ORG,
0,Internships,ORG,
0,Mitacs,ORG,
0,Mitacs Accelerate International,ORG,
0,NQS,ORG,
0,NRC,ORG,
0,NSERC,ORG,
0,NSERC Alliance,ORG,
0,NSERC-National Science Foundation,ORG,
0,NSF,ORG,
0,National Quantum,ORG,
0,National Science Foundation,ORG,
0,National Security,ORG,
0,"National Security 
Review of Investments",ORG,
0,New Frontiers,ORG,
0,"Nord 
Quantique",ORG,
0,PT,ORG,
0,PacifiCan,ORG,
0,PennyLane,ORG,
0,Perimeter,ORG,
0,Perimeter Institute for Theoretical Physics,ORG,
0,Postdoctoral Fellowship/Research Programs,ORG,
0,Prairies Economic Development Canada,ORG,
0,PrairiesCan,ORG,
0,"Public Service 
Commission of Canada
•
Enables",ORG,
0,QRDI,ORG,
0,Quantum,ORG,
0,"Quantum 
Technology",ORG,
0,"Quantum Advisory 
Council",ORG,
0,Quantum City,ORG,
0,Quantum Committee,ORG,
0,Quantum Computing,ORG,
0,Quantum Encryption,ORG,
0,Quantum Industry Canada,ORG,
0,Quantum Leap Challenge,ORG,
0,Quantum Research,ORG,
0,Quantum Science,ORG,
0,Quantum Technologies Competition,ORG,
0,REGI,ORG,
0,RESEARCH PILLAR Research,ORG,
0,Research Affiliate Program,ORG,
0,Research Chairs Program,ORG,
0,Research Fund,ORG,
0,"Research, Talent and Commercialization",ORG,
0,S&T,ORG,
0,SIF,ORG,
0,Science in Physics,ORG,
0,Secretariat,ORG,
0,Secure Networks Challenge Program,ORG,
0,Sensor Challenge,ORG,
0,"Sherbrooke Quantum
Innovation Zone",ORG,
0,"Social 
Development Canada",ORG,
0,Space Technology Development Program,ORG,
0,Statistics Canada,ORG,
0,Strategic Innovation Fund,ORG,
0,TALENT PILLAR Talent,ORG,
0,TCS,ORG,
0,Temporary,ORG,
0,The Canada Foundation for Innovation,ORG,
0,The Canadian Space Agency’s,ORG,
0,"The Communications 
Security Establishment",ORG,
0,The Department of National Defence,ORG,
0,The Government of Canada,ORG,
0,The Government of Quebec,ORG,
0,The ITB Policy,ORG,
0,The NQS Secretariat,ORG,
0,The National Quantum Strategy,ORG,
0,The Perimeter Institute’s,ORG,
0,The Standards Council of Canada,ORG,
0,The Trade Commissioner Service,ORG,
0,Trade Commissioner Service,ORG,
0,UKRI,ORG,
0,University of Calgary,ORG,
0,WD,ORG,
0,Xanadu,ORG,
0,quantum,ORG,
0,quantum science,ORG,
0,quantum technologies,ORG,
0,"quantum technologies •
",ORG,
0,"the
Government of Canada",ORG,
0,"the 
Department of National Defence (DND",ORG,
0,"the Alberta
Technology",ORG,
0,the Bank of Canada,ORG,
0,the Business Development Bank of Canada,ORG,
0,"the Communications 
Security Establishment",ORG,
0,the European Commission,ORG,
0,"the Federal 
Economic Development Agency",ORG,
0,"the Foreign 
Direct Investment Attraction Strategy",ORG,
0,"the Global 
Innovation Clusters",ORG,
0,the Government of Alberta,ORG,
0,the Government of British Columbia,ORG,
0,the Government of Canada,ORG,
0,the Government of Ontario,ORG,
0,"the Institut 
Quantique",ORG,
0,"the International Summer School for Young 
Physicists",ORG,
0,the Internet of Things,ORG,
