Topic,Count,Name,Representation,Representative_Docs
-1,1457,-1_and_the_to_of,"['and', 'the', 'to', 'of', 'for', 'in', 'quantum', 'research', 'with', 'on']","['To continue to grow this offer and ensure quantum businesses can access the support they', 'to the task. We will work closely with quantum companies as well as key industry and', 'But it is also important to be more targeted where and when we can, working with industry to']"
0,253,0_quantum_technologies_of_the,"['quantum', 'technologies', 'of', 'the', 'sector', 'to', 'and', 'in', 'technology', 'will']","['across the different quantum technologies, our rapidly growing quantum sector, and our', 'quantum technologies through the Commercialising Quantum Technologies', 'opportunities from quantum technologies. Industry, researchers, and the public sector will need']"
1,123,1_technologies_applications_technology_application,"['technologies', 'applications', 'technology', 'application', 'development', 'new', 'of', 'technological', 'as', 'the']","['applications, as well as an international level, for The aim of the project is to develop, build and operate', 'Given the early stage of the technological development, and the fact that there are numerous', 'distribution of the technology, a wide range of new ∙ further develop the technology in such a way']"
2,119,2_canada_canadian_government_ontario,"['canada', 'canadian', 'government', 'ontario', 'has', 'economic', 'of', 'million', 'in', 'quebec']","['work and live in Canada and around the world. Canada’s investments in', 'Canada (NSERC) and the National Research Council of Canada (NRC):', 'The Government of Canada has supported the globally. The Government of Canada will also develop']"
3,113,3_uk_quantum_leading_the,"['uk', 'quantum', 'leading', 'the', 'business', 'ensure', 'sector', 'home', 'our', 'technologies']","['ensure that quantum regulation supports UK business and innovation, that the UK’s', 'We will ensure the UK is home to world-leading quantum science and engineering,', '• Ensure the UK is home to world-leading quantum science and engineering, growing UK']"
4,82,4_germany_german_europe_european,"['germany', 'german', 'europe', 'european', 'in', 'eu', 'bsi', 'bmbf', 'framework', 'is']","['Federal Government’s goal is to take advantage of the available opportunities and to establish Germany and Europe', 'This conceptual framework programme of the Federal Germany.', 'technology, working closely with partners from technologies in Germany and Europe, for which it']"
5,81,5_sensors_timing_sensing_or,"['sensors', 'timing', 'sensing', 'or', 'clocks', 'positioning', 'navigation', 'precision', 'measurements', 'optical']","['measurements and/or enabling new regimes or modalities for sensors and measurement', 'defense; next-generation positioning, navigation, and timing systems for military and commercial', 'technologies across communications, sensors and timing, enhanced imaging']"
6,77,6_workforce_quantum_training_talent,"['workforce', 'quantum', 'training', 'talent', 'skills', 'fellowships', 'doctoral', 'apprenticeships', 'smart', 'needs']","['developing research skills; training in areas such as who will advance quantum science and technologies.', 'Workforce generation efforts and future U.S. workforce needs of the nascent quantum industry should', 'quantum-related fellowships and doctoral training. We will continue to increase this over']"
7,70,7_qis_research_leadership_nation,"['qis', 'research', 'leadership', 'nation', 'united', 'and', 'encourage', 'in', 'states', 'community']","['QIS may be even more impactful. Long-running U.S. Government investments in QIS and more recent', 'and industry activities to maintain and accelerate U.S. leadership in QIS.', 'international technologies, research facilities, and expertise in QIS']"
8,66,8_cryptography_post_safe_qkd,"['cryptography', 'post', 'safe', 'qkd', 'quantum', 'security', 'resistant', 'cryptographic', 'channel', 'pqc']","['investing in post-quantum cryptography; and building', 'cryptography and has published guidance on the transition to quantum-safe cryptography,', 'security of Canadians in a quantum- companies developing post-quantum cryptography']"
9,65,9_uk_the_global_continue,"['uk', 'the', 'global', 'continue', 'is', 'investment', 'we', 'business', 'to', 'great']","['in the UK and bring enormous benefits to the UK economy, society and the way we', 'We will ensure that the UK’s start-ups and SMEs can thrive in the UK. The growth of the sector', 'and science that will ensure the UK is a global centre of excellence for']"
10,61,10_international_collaboration_bilateral_partners,"['international', 'collaboration', 'bilateral', 'partners', 'partnerships', 'global', 'with', 'forum', 'minded', 'world']","['• Play a leading role, with like-minded partners around the world, to shape international', '• Provide additional funding for international collaboration through the new International', 'Provide additional funding for international collaboration through the new International']"
11,61,11_canada_canadian_quantum_strength,"['canada', 'canadian', 'quantum', 'strength', 'canadians', 'industry', 'technologies', 'success', 'government', 'ecosystem']","['Canadians in a quantum-enabled world through a and success of the Canadian ecosystem.', 'of Canadian industry, governments and citizens. to fostering Canada’s strength in quantum research,', 'The Government of Canada will accelerate the development of Canadian quantum computing hardware,']"
12,57,12_computing_quantum_computers_dlr,"['computing', 'quantum', 'computers', 'dlr', 'computer', 'could', 'algorithms', 'hardware', 'of', 'unit']","['partners continues. Especially in quantum computing DLR’s Quantum Computing Initiative, through cor-', 'and use of quantum computing hardware quantum computers, including over the cloud.', 'Quantum computing, high performance computing, AI and cloud computing: the']"
13,54,13_hardware_platforms_software_performance,"['hardware', 'platforms', 'software', 'performance', 'compute', 'computing', 'hpc', 'computer', 'accelerator', 'computers']","['hardware platforms, software and components, and reinforce our capabilities', 'hardware platforms, as well as software. We will monitor the development of these', 'development of different hardware platforms, software, components, and all relevant supply']"
14,54,14_sensors_sensing_sensor_imaging,"['sensors', 'sensing', 'sensor', 'imaging', 'quantum', 'timing', 'technology', 'tum', 'superconducting', 'computing']","['key quantum technology applications for defence, including sensing, imaging, and timing, as', 'quantum computing, communications, sensing, imaging and timing', 'Quantum computing, quantum communications, quantum imaging and quantum sensors']"
15,54,15_nqcc_nqs_nqtp_missions,"['nqcc', 'nqs', 'nqtp', 'missions', 'sparq', 'objectives', 'the', 'will', 'npl', 'support']","['The NQCC has developed an extensive programme of support for users under the SparQ', 'The National Quantum Computing Centre (NQCC) is a new research institution', 'The SparQ programme, developed by the National Quantum Computing Centre (NQCC),']"
16,53,16_products_commercialisation_commercialization_market,"['products', 'commercialisation', 'commercialization', 'market', 'at', 'companies', 'economy', 'user', 'innovative', 'development']","['products in at least five different sectors are being', 'commercialisation, where products are still in the development cycle and the company is not', 'companies focused on delivering market-ready products with critical application in']"
17,53,17_scientific_science_fundamental_challenges,"['scientific', 'science', 'fundamental', 'challenges', 'grand', 'problems', 'research', 'engineering', 'challenge', 'transformative']","['Grand Challenges, as well as track their progress and reevaluate these scientific and technological', '\uf0b7 Focus on a science-first approach that aims to identify and solve Grand Challenges: problems', 'strategy. Grand Challenges are those fundamental scientific or technology problems with answers that']"
18,49,18_funding_investment_procurement_catalyst,"['funding', 'investment', 'procurement', 'catalyst', 'government', 'investments', 'expand', 'private', 'total', 'savers']","['catalyst funding to enable this, under the next phase of the national programme, and will', '• Expand the use of government procurement, including funding feasibility studies for', 'Expand the use of government procurement, including funding feasibility studies for']"
19,44,19_data_cryptography_encryption_sensitive,"['data', 'cryptography', 'encryption', 'sensitive', 'crypto', 'eavesdropping', 'information', 'secure', 'is', 'thunderbird']","['Galileo Encryption technology for data communication. In', 'be capable of undermining the cryptography used to secure internet data.', 'break the public key cryptography that is in use today. in order to transmit data securely. Unlike common']"
20,43,20_materials_semiconductor_fabrication_semiconductors,"['materials', 'semiconductor', 'fabrication', 'semiconductors', 'compound', 'solid', 'such', 'material', 'chemical', 'cluster']","['as semiconductors, photonics or space), including for fabrication facilities.', 'sectors (such as semiconductors, photonics or space), including for fabrication facilities.', 'have world leading clusters, such as the compound semiconductor cluster in']"
21,42,21_million_hubs_over_alliance,"['million', 'hubs', 'over', 'alliance', 'investment', 'years', 'quantum', 'billion', 'year', 'seven']","['• Alliance International Quantum grants ($29.7 million over seven years)', '• Alliance Consortia Quantum grants ($40.4 million over seven years)', '• Alliance Quantum grants ($62.4 million over seven years)']"
22,41,22_standards_standardisation_standardization_international,"['standards', 'standardisation', 'standardization', 'international', 'norms', 'characterisation', 'development', 'different', 'tion', 'process']","['Standards Association, International Organization for Standardization and International', 'are currently not enough training opportunities. in standardisation is an important factor – standards', 'International conversations on technical standards are at an early stage within standards']"
23,38,23_germany_planck_max_german,"['germany', 'planck', 'max', 'german', 'in', 'strong', 'munich', 'technolo', 'quantum', 'gesellschaft']","['for Germany due to its strong base in quantum tech- into a leading international position in quantum', 'Germany is excellently positioned when it comes to Max Planck Quantum Alliance (MPQA)', 'Germany is in a good position in terms of quantum ∙ securing and expanding Germany’s innovative']"
24,38,24_academia_stem_academic_diverse,"['academia', 'stem', 'academic', 'diverse', 'tracks', 'educational', 'workforce', 'disciplinary', 'convergent', 'education']","['\uf0b7 Encourage industry and academia to create convergent, trans-sector approaches for diverse', 'and academia. Existing approaches of this nature include special research tracks in academic', 'within the academic community, Government agencies and industry can partner with academia to']"
25,37,25_skilled_training_skills_postgraduate,"['skilled', 'training', 'skills', 'postgraduate', 'workers', 'technical', 'highly', 'labour', 'shortage', 'increase']","['∙ training and attracting skilled workers and devel-', '• Training and talent programmes: to invest in postgraduate skills, technical and', 'Training and talent programmes for the postgraduate skills, technical']"
26,37,26_regulatory_regulation_export_nssif,"['regulatory', 'regulation', 'export', 'nssif', 'supports', 'control', 'act', 'national', 'framework', 'multilaterally']","['• Create a national and international regulatory framework that supports', '• Create a national and international regulatory framework that supports innovation and', 'Create a national and international regulatory framework that supports innovation and the']"
27,36,27_laboratory_testing_facilities_npl,"['laboratory', 'testing', 'facilities', 'npl', 'physical', 'test', 'evaluation', 'testbed', 'causes', 'dementia']","['equipment or facilities provides shared benefits. This includes, for example, facilities for testing', 'expanding the facilities and capabilities at the National Physical Laboratory in Teddington and', '• Testing and evaluation services through the National Physical Laboratory (NPL) through']"
28,33,28_security_national_risks_resilience,"['security', 'national', 'risks', 'resilience', 'economic', 'risk', 'defence', 'mitigations', 'growth', 'pressing']","['economic growth, health, sustainability, and national security and resilience, not', 'address national security needs, but the scientific and economic advances can lead to new risks. An', 'economic growth, economic security, national security and defence. We are in a']"
29,32,29_agencies_federal_agency_engagement,"['agencies', 'federal', 'agency', 'engagement', 'driven', 'end', 'government', 'showcasing', 'mission', 'explore']","['within the Federal Government by cultivating potential end-user agencies. A culture of information', 'Federal agencies and stakeholders to explore applications relevant to their respective', 'training and engagement will allow Federal agencies and stakeholders to explore relevant applications.']"
30,31,30_strategy_this_implementation_sets,"['strategy', 'this', 'implementation', 'sets', 'we', 'our', 'out', 'plan', 'goals', 'success']","['This strategy sets out how we will put this approach into practice through domestic and', 'This strategy sets out a ten-year vision, plan and priority actions. As quantum', 'This strategy sets out our plan for the next ten years, building on the successes to']"
31,30,31_communication_communications_quantum_network,"['communication', 'communications', 'quantum', 'network', 'draft', 'signals', 'realised', 'comes', 'understood', 'components']","['quantum communication network in Germany and in Science in Leipzig, for Intelligent Systems in Tübin-', 'of a European quantum communication network it is possible to engender targeted momentum and', 'for components for quantum communication or for and qualification at a European level, as well as the']"
32,29,32_million_over_billion_additional,"['million', 'over', 'billion', 'additional', 'years', 'next', 'two', '20', 'an', 'we']","['cases. We will provide an additional £20 million over the next two years to boost the', 'demonstrations. We will start with an additional £20 million over the next two years to', 'this with an additional £15 million over the next two years.']"
33,29,33_talent_attracting_diverse_pool,"['talent', 'attracting', 'diverse', 'pool', 'visa', 'shortages', 'diversity', 'domestic', 'competitive', 'youth']","['• Talent – Developing, attracting and retaining the', 'developing talent and attracting global researchers domestic talent, being internationally competitive', 'the talent it has developed and building a more Attracting and developing talent']"
34,28,34_infrastructure_investments_utility_repurposed,"['infrastructure', 'investments', 'utility', 'repurposed', 'critical', 'federal', 'facilities', 'construction', 'including', 'needed']","['• Infrastructure investments: to meet the needs of the evolving field and sector, including', '\uf0b7 Leverage existing infrastructure, including manufacturing facilities that can be repurposed', 'information, critical applications and infrastructure.']"
35,28,35_qt_mpg_qst_qvls,"['qt', 'mpg', 'qst', 'qvls', 'reliable', 'ilabs', 'ptb', 'components', 'platform', 'demand']","['Tübingen) of the MPG in QST, to strengthen the collaboration', 'components already established at PTB (and other ∙ Together with QVLS partners, PTB operates a QT', 'global competition for QST. strategy for the MPG in the area of QST is the es-']"
36,25,36_qubits_500_scalable_qubit,"['qubits', '500', 'scalable', 'qubit', '50', 'tum', 'controllable', 'assume', 'entangled', 'they']","['lable qubits, scalable to 500 qubits in the medi- sponsible use and a common quality infrastructure.', 'vidually controllable qubits, scalable to 500 qubits.', 'trollable qubits by 2026, scalable to 500 qubits in']"
37,25,37_photonics_photonic_photon_fraunhofer,"['photonics', 'photonic', 'photon', 'fraunhofer', 'applied', 'single', 'centre', 'cap', 'lasers', 'dark']","['Helping to tie the ecosystem together is the Fraunhofer Centre for Applied Photonics UK,', 'Teddington, the Fraunhofer Centre for Applied Photonics in Glasgow, to our four research', 'Fraunhofer Centre for Applied Photonics (CAP), Glasgow']"
