Country,Actor_1,Actor_2,QH_Category_1,QH_Category_2,Weight
CAN,Canada Foundation for Innovation,Global Affairs Canada,Government,Government,2
CAN,Acountry,EDI,not specified,not an actor,1
CAN,World Economic Forum,Xanadu,Civil Society,Industry,1
CAN,Acountry,Alliance International,not specified,not an actor,1
CAN,Acountry,BDC,not specified,Government,1
CAN,Acountry,Budget 2022,not specified,not an actor,1
CAN,Acountry,Business Development Bank of Canada,not specified,Government,1
CAN,Acountry,C2MI,not specified,Civil Society,1
CAN,Acountry,CED,not specified,Government,1
CAN,Acountry,CFI,not specified,Government,1
CAN,Acountry,Canada Economic Development for Quebec Regions,not specified,Government,1
CAN,Acountry,Canada Foundation for Innovation,not specified,Government,1
CAN,Acountry,Canadian Armed Forces,not specified,Government,1
CAN,Acountry,Canadian Institute for Advanced Research CIFAR,not specified,Academia,1
CAN,Acountry,Canadian International Innovation Program,not specified,not an actor,1
CAN,UKRI,University of Waterloo,Government,Academia,1
CAN,Tri-Agency EDI Action Plan,University of Waterloo,not an actor,Academia,1
CAN,Tri-Agency EDI Action Plan,Université de Sherbrooke,not an actor,Academia,1
CAN,Tri-Agency EDI Action Plan,World Economic Forum,not an actor,Civil Society,1
CAN,Tri-Agency EDI Action Plan,Xanadu,not an actor,Industry,1
CAN,U.S. National Science Foundation,UK Research and Innovation (UKRI),Government,Government,1
CAN,U.S. National Science Foundation,UKRI,Government,Government,1
CAN,U.S. National Science Foundation,University of Waterloo,Government,Academia,1
CAN,U.S. National Science Foundation,Université de Sherbrooke,Government,Academia,1
CAN,U.S. National Science Foundation,World Economic Forum,Government,Civil Society,1
CAN,U.S. National Science Foundation,Xanadu,Government,Industry,1
CAN,UK Research and Innovation (UKRI),UKRI,Government,Government,1
CAN,UK Research and Innovation (UKRI),University of Waterloo,Government,Academia,1
CAN,UK Research and Innovation (UKRI),Université de Sherbrooke,Government,Academia,1
CAN,UK Research and Innovation (UKRI),World Economic Forum,Government,Civil Society,1
CAN,Acountry,Deep Tech Venture Fund,not specified,not an actor,1
CAN,Acountry,Mitacs Accelerate International,not specified,not an actor,1
CAN,Acountry,NQS,not specified,not an actor,1
CAN,Acountry,NRC IRAP,not specified,Government,1
CAN,Acountry,NRC’s Industrial Research Assistance Program,not specified,Government,1
CAN,Acountry,NSF,not specified,Government,1
CAN,Acountry,National Science Foundation,not specified,Government,1
CAN,Acountry,National Security Guidelines for Research Partnerships,not specified,not an actor,1
CAN,Acountry,National Security Review of Investments,not specified,not an actor,1
CAN,Acountry,Nord Quantique,not specified,Industry,1
CAN,Acountry,PSI Start program,not specified,not an actor,1
CAN,Acountry,PacifiCan,not specified,Government,1
CAN,Acountry,Perimeter,not specified,Academia,1
CAN,Acountry,PrairiesCan,not specified,Government,1
CAN,Acountry,Public Service Commission of Canada,not specified,Government,1
CAN,Acountry,QEYSSat,not specified,not an actor,1
CAN,Acountry,Quantum Algorithms Institute,not specified,Civil Society,1
CAN,Acountry,Quantum Computing,not specified,not an actor,1
CAN,Acountry,Quantum Encryption and Science Satellite,not specified,not an actor,1
CAN,Acountry,REGI,not specified,not an actor,1
CAN,Acountry,Regional Economic Growth through Innovation program,not specified,not an actor,1
CAN,Acountry,SIF,not specified,not an actor,1
CAN,Acountry,Standards Council of Canada,not specified,Government,1
CAN,Acountry,Strategic Innovation Fund,not specified,not an actor,1
CAN,Acountry,The National Quantum Strategy,not specified,not an actor,1
CAN,Acountry,WD,not specified,Government,1
CAN,Acountry,Western Economic Diversification,not specified,Government,1
CAN,Acountry,pillar RESEARCH PILLAR Research,not specified,not specified,1
CAN,Alberta Technology and Innovation Strategy,Business Development Bank of Canada,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,CFREF,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,CIFAR,Government,Academia,1
CAN,Alberta Technology and Innovation Strategy,CSA,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Canada First Research Excellence Fund,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,Canadian Coast Guard,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Canadian Space Agency,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Directive on Security Management,Government,not relevant (from Footnotes),1
CAN,Alberta Technology and Innovation Strategy,Federal department,Government,not specified,1
CAN,Alberta Technology and Innovation Strategy,Global Industry Analysts Inc.,Government,not relevant (from Footnotes),1
CAN,Alberta Technology and Innovation Strategy,Government of Alberta,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Government of British Columbia,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Government of Ontario,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,ITB,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,ITB Policy,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,NFRF,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,NQS Secretariat,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,NRC,Government,Academia,1
CAN,Alberta Technology and Innovation Strategy,NSERC,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,National Research Council of Canada,Government,Academia,1
CAN,Alberta Technology and Innovation Strategy,Natural Sciences and Engineering Research Council of Canada,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,New Frontiers in Research Fund,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,Pacific Economic Development Canada,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Perimeter Institute for Theoretical Physics,Government,Academia,1
CAN,Alberta Technology and Innovation Strategy,Prairies Economic Development Canada,Government,Government,1
CAN,Alberta Technology and Innovation Strategy,Quantum Committee,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,STDP,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,Space Technology Development Program,Government,not an actor,1
CAN,Alberta Technology and Innovation Strategy,University of Alberta,Government,Academia,1
CAN,Alberta Technology and Innovation Strategy,University of Calgary,Government,Academia,1
