Actor_Name,QH_Category,Degree_Centrality,Direct_Connections
Canada Foundation for Innovation,Government,0.7647058823529412,117
Global Affairs Canada,Government,0.7647058823529412,117
Business Development Bank of Canada,Government,0.5751633986928105,88
"Innovation, Science and Economic Development Canada",Government,0.41830065359477125,64
D-Wave,Industry,0.39869281045751637,61
Creative Destruction Lab,Civil Society,0.39869281045751637,61
DRDC,Government,0.39869281045751637,61
Defence Research and Development Canada,Government,0.39869281045751637,61
Department of National Defence,Government,0.39869281045751637,61
DND,Government,0.39869281045751637,61
ISED,Government,0.39869281045751637,61
Government of Quebec,Government,0.39869281045751637,61
IBM,Industry,0.39869281045751637,61
Horizon Europe,not an actor,0.39869281045751637,61
IBM Quantum Hub,Industry,0.39869281045751637,61
IDEaS,not an actor,0.39869281045751637,61
IQC,Academia,0.39869281045751637,61
IBM Q System One,not an actor,0.39869281045751637,61
Internet of Things,not an actor,0.39869281045751637,61
Innovation for Defence Excellence and Security,not an actor,0.39869281045751637,61
Institut Quantique,Academia,0.39869281045751637,61
Institute for Quantum Computing,Academia,0.39869281045751637,61
Mitacs,Civil Society,0.39869281045751637,61
Invest in Canada,Government,0.39869281045751637,61
NSERC CREATE,not an actor,0.39869281045751637,61
Communications Security Establishment,Government,0.39869281045751637,61
Statistics Canada,Government,0.39869281045751637,61
Social Sciences and Humanities Research Council,Government,0.39869281045751637,61
Sherbrooke Quantum Innovation Zone,Civil Society,0.39869281045751637,61
Secure Networks Challenge Program,not an actor,0.39869281045751637,61
Xanadu,Industry,0.39869281045751637,61
World Economic Forum,Civil Society,0.39869281045751637,61
Université de Sherbrooke,Academia,0.39869281045751637,61
University of Waterloo,Academia,0.39869281045751637,61
UKRI,Government,0.39869281045751637,61
UK Research and Innovation (UKRI),Government,0.39869281045751637,61
U.S. National Science Foundation,Government,0.39869281045751637,61
Tri-Agency EDI Action Plan,not an actor,0.39869281045751637,61
Trade Commissioner Service,Government,0.39869281045751637,61
The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,not an actor,0.39869281045751637,61
TCS,Government,0.39869281045751637,61
Stewart Blusson Quantum Matter Institute,Academia,0.39869281045751637,61
Quantum Valley Ideas Lab,Civil Society,0.39869281045751637,61
Quantum Technologies Competition,not an actor,0.39869281045751637,61
Quantum Industry Canada,Civil Society,0.39869281045751637,61
Quantum Advisory Council,Government,0.39869281045751637,61
SSHRC,Government,0.39869281045751637,61
S&T Strategy,not an actor,0.39869281045751637,61
S&T,not an actor,0.39869281045751637,61
Council,not specfied,0.39869281045751637,61
Bank of Canada,Government,0.39869281045751637,61
Canada Excellence Research Chairs Program,not an actor,0.39869281045751637,61
CSE,Government,0.39869281045751637,61
CERC,not an actor,0.39869281045751637,61
Anyon Systems,Industry,0.39869281045751637,61
BDC Deep Tech Venture Fund,not an actor,0.39869281045751637,61
Alliance,not an actor,0.39869281045751637,61
European Commission,Government,0.39869281045751637,61
Perimeter Institute,Academia,0.39869281045751637,61
PennyLane,not an actor,0.39869281045751637,61
