Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category,modified_entity_name,finalized_entity_name
2,1,CAN,2022,Canada's National Quantum Strategy,The National Quantum Strategy,ORG,not an actor,not an actor,not an actor,False,The National Quantum Strategy
2,1,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,not an actor,not an actor,not an actor,False,NQS
4,1,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,Government,Policy Makers,Government,False,Government of Canada
10,1,CAN,2022,Canada's National Quantum Strategy,National Research Council of Canada,ORG,Academia,Public Research Orgs (PROs),Research Council,False,National Research Council of Canada
10,1,CAN,2022,Canada's National Quantum Strategy,NRC,ORG,Academia,Public Research Orgs (PROs),Research Council,False,NRC
12,1,CAN,2022,Canada's National Quantum Strategy,D-Wave,ORG,Industry,Private Firms (Corporates),Technology Provider,False,D-Wave
12,1,CAN,2022,Canada's National Quantum Strategy,World Economic Forum,ORG,Civil Society,Intermediaries,Foundation; Network; Think Tank,False,World Economic Forum
12,1,CAN,2022,Canada's National Quantum Strategy,Xanadu,ORG,Industry,Start-ups,Technology Provider,False,Xanadu
18,1,CAN,2022,Canada's National Quantum Strategy,National Quantum Strategy,ORG,not an actor,not an actor,not an actor,False,National Quantum Strategy
20,1,CAN,2022,Canada's National Quantum Strategy,Commercialization  Stakeholders,ORG,not specified,not specified,not specified,False,Commercialization  Stakeholders
22,1,CAN,2022,Canada's National Quantum Strategy,Canadian IP,ORG,not an actor,not an actor,not an actor,False,Canadian IP
22,1,CAN,2022,Canada's National Quantum Strategy,Social Sciences and Humanities Research Council,ORG,Government,Funding Agencies,Funding; Research Council,False,Social Sciences and Humanities Research Council
22,1,CAN,2022,Canada's National Quantum Strategy,SSHRC,ORG,Government,Funding Agencies,Funding; Research Council,False,SSHRC
23,1,CAN,2022,Canada's National Quantum Strategy,Strategic Innovation Fund,ORG,not an actor,not an actor,not an actor,False,Strategic Innovation Fund
23,1,CAN,2022,Canada's National Quantum Strategy,SIF,ORG,not an actor,not an actor,not an actor,False,SIF
24,1,CAN,2022,Canada's National Quantum Strategy,Canada Foundation for Innovation,ORG,Government,Funding Agencies,Funding,False,Canada Foundation for Innovation
24,1,CAN,2022,Canada's National Quantum Strategy,CFI,ORG,Government,Funding Agencies,Funding,False,CFI
28,1,CAN,2022,Canada's National Quantum Strategy,Standards Council of Canada,ORG,Government,Policy Makers,Foundation; Regulatory Authority; Research Council,False,Standards Council of Canada
29,1,CAN,2022,Canada's National Quantum Strategy,Bank of Canada,ORG,Government,Policy Makers,Central Bank; Monetary Authority; Regulatory Authority,False,Bank of Canada
32,1,CAN,2022,Canada's National Quantum Strategy,Innovative Solutions Canada,ORG,not an actor,not an actor,not an actor,False,Innovative Solutions Canada
32,1,CAN,2022,Canada's National Quantum Strategy,ISC,ORG,not an actor,not an actor,not an actor,False,ISC
45,1,CAN,2022,Canada's National Quantum Strategy,Communications Security Establishment,ORG,Government,Policy Makers,Federal Security; Intelligence Authority; Regulatory Authority,False,Communications Security Establishment
45,1,CAN,2022,Canada's National Quantum Strategy,Quantum Encryption and Science Satellite,ORG,not an actor,not an actor,not an actor,False,Quantum Encryption and Science Satellite
