Paragraph_ID,Doc_ID,Country,Year,Document_Name,entity_name,ner_label,qh_category,qh_sub_category,qh_exact_category
2,1,CAN,2022,Canada's National Quantum Strategy,The National Quantum Strategy,ORG,,,
2,1,CAN,2022,Canada's National Quantum Strategy,NQS,ORG,,,
4,1,CAN,2022,Canada's National Quantum Strategy,Government of Canada,ORG,,,
10,1,CAN,2022,Canada's National Quantum Strategy,National Research Council of Canada,ORG,,,
10,1,CAN,2022,Canada's National Quantum Strategy,NRC,ORG,,,
12,1,CAN,2022,Canada's National Quantum Strategy,D-Wave,ORG,,,
12,1,CAN,2022,Canada's National Quantum Strategy,World Economic Forum,ORG,,,
12,1,CAN,2022,Canada's National Quantum Strategy,Xanadu,ORG,,,
18,1,CAN,2022,Canada's National Quantum Strategy,National Quantum Strategy,ORG,,,
20,1,CAN,2022,Canada's National Quantum Strategy,Commercialization  Stakeholders,ORG,,,
22,1,CAN,2022,Canada's National Quantum Strategy,Canadian IP,ORG,,,
22,1,CAN,2022,Canada's National Quantum Strategy,Social Sciences and Humanities Research Council,ORG,,,
22,1,CAN,2022,Canada's National Quantum Strategy,SSHRC,ORG,,,
23,1,CAN,2022,Canada's National Quantum Strategy,Strategic Innovation Fund,ORG,,,
23,1,CAN,2022,Canada's National Quantum Strategy,SIF,ORG,,,
24,1,CAN,2022,Canada's National Quantum Strategy,Canada Foundation for Innovation,ORG,,,
24,1,CAN,2022,Canada's National Quantum Strategy,CFI,ORG,,,
28,1,CAN,2022,Canada's National Quantum Strategy,Standards Council of Canada,ORG,,,
29,1,CAN,2022,Canada's National Quantum Strategy,Bank of Canada,ORG,,,
32,1,CAN,2022,Canada's National Quantum Strategy,Innovative Solutions Canada,ORG,,,
32,1,CAN,2022,Canada's National Quantum Strategy,ISC,ORG,,,
45,1,CAN,2022,Canada's National Quantum Strategy,Communications Security Establishment,ORG,,,
45,1,CAN,2022,Canada's National Quantum Strategy,Quantum Encryption and Science Satellite,ORG,,,
45,1,CAN,2022,Canada's National Quantum Strategy,QEYSSat,ORG,,,
45,1,CAN,2022,Canada's National Quantum Strategy,Secure Networks Challenge Program,ORG,,,
56,1,CAN,2022,Canada's National Quantum Strategy,Department of National Defence,ORG,,,
56,1,CAN,2022,Canada's National Quantum Strategy,DND,ORG,,,
56,1,CAN,2022,Canada's National Quantum Strategy,Internet of Things,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,IQC,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,University of Waterloo,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,Perimeter Institute,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,Canada First Research Excellence Fund,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,CFREF,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,Canadian Space Agency,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,Natural Sciences and Engineering Research Council of Canada,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,NSERC,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,MiQro Innovation Collaborative Center,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,C2MI,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,Quantum Algorithms Institute,ORG,,,
67,1,CAN,2022,Canada's National Quantum Strategy,NSERC Alliance,ORG,,,
70,1,CAN,2022,Canada's National Quantum Strategy,CSE,ORG,,,
70,1,CAN,2022,Canada's National Quantum Strategy,Quantum Research and Development Initiative,ORG,,,
70,1,CAN,2022,Canada's National Quantum Strategy,QRDI,ORG,,,
70,1,CAN,2022,Canada's National Quantum Strategy,IDEaS  Innovation for Defence Excellence and Security,ORG,,,
70,1,CAN,2022,Canada's National Quantum Strategy,Canadian Armed Forces,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,Université de Sherbrooke,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,Institute for Quantum Computing,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,Institut Quantique,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,Stewart Blusson Quantum Matter Institute,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,Mitacs,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,NSERC CREATE,ORG,,,
71,1,CAN,2022,Canada's National Quantum Strategy,Mitacs Accelerate International,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,Alliance International,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,"Immigration, Refugees and Citizenship Canada",ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,Global Affairs Canada,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,GAC,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,Budget 2022,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,Science and Economic Development Canada,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,ISED,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,Alliance and CREATE,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,EDI,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,International Summer School for Young Physicists,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,Perimeter,ORG,,,
72,1,CAN,2022,Canada's National Quantum Strategy,PSI,ORG,,,
73,1,CAN,2022,Canada's National Quantum Strategy,Statistics Canada,ORG,,,
73,1,CAN,2022,Canada's National Quantum Strategy,Quantum Industry Canada,ORG,,,
73,1,CAN,2022,Canada's National Quantum Strategy,Creative Destruction Lab,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,The Government of Canada,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,NRC’s Industrial Research Assistance Program,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,IRAP,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Federal Economic Development Agency for Southern Ontario,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,FedDev Ontario,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Western Economic Diversification,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,WD,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Canada Economic Development for Quebec Regions,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,CED,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Canadian International Innovation Program,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,NRC IRAP,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Business Development Bank of Canada,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,BDC,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Deep Tech Venture Fund,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Xanadu of Toronto,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,Nord Quantique,ORG,,,
74,1,CAN,2022,Canada's National Quantum Strategy,BDC Deep Tech Venture Fund,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,Regional Economic Growth through Innovation,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,REGI,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,PrairiesCan,ORG,,,
76,1,CAN,2022,Canada's National Quantum Strategy,PacifiCan,ORG,,,
