Topic,Count,Name,Representation,Representative_Docs
0,57,0_talent_skill_workforce_training,"['talent', 'skill', 'workforce', 'training', 'program', 'student', 'need', 'fellowship', 'stem', 'canada']","['creating quantumsmart workforce tomorrow growing american quantumsmart workforce expertise broad range physical information engineering science crucial assuring sustained progress qi however america current educational system typically focus discrete disciplinary track rarely emphasizing crossdisciplinary study equips graduate complex modern question challenge prominently including qi responsibility training student traditionally resides within academic community government agency industry partner academia meet nation future need fundamental research main mechanism generating qualified workforce qi within context need individual broad mix skill support transsector transdisciplinary approach research essential student trained environment exposed diverse yet convergent set discipline along associated tool infrastructure allow student obtain qualification skill required industry national laboratory academia existing approach nature include special research track academic program early career award government agency support focused research group coordinated training industry using enhancing program increase size qi workforce furthermore approach synthesize program industrial collaboration engaging central fundamental research program prepare student additional skill crucial entering workforce private sector leadership quantum science technology agency encouraged expand develop specific program foster workforce development build others strength mission number agency already existing program national science foundation nsf graduate research fellowship program accelerating discovery program national defense science engineering graduate fellowship program quantum science engineering program department defense dod science undergraduate laboratory internship graduate student research program computational science graduate fellowship program department energy doe national institute standard technology nist joint research center combine government researcher university student postdoctoral scholar faculty program enriched modified expanded driven agency need improvement may include joining existing effort different agency increase impact creating joint earlycareer program looking longerterm horizon academic faculty provide bedrock training program university encouraged address workforce development need adding tenured tenuretrack faculty within interdisciplinary theme associated qi consider quantum science engineering discipline future concentration exemplified step creating new department thesis track avenue include new undergraduate program engagement industry government internship externshipspredominantly personsand new professional development program including encouragement creation specialized technical program student become ambassador discipline following wide range different path career increasing societal impact quantumscience education beyond university outreach broader audience essential strong comprehensive program computational scientific thinking featuring computer science physic must start developing interest early stage critical role played industry professional society agency vested interest appropriate outreach help provide access novel technology example via cloudbased approach well developing classroombased learning opportunity broader connection public various medium platform time informal education tool found many museum across nation effective complementary classroom overall effort work best coordination nstc committee stem subcommittee address stem related education improving academicindustrial pathway one program expanding connection across sector recently developed nsffunded quantum information science engineering network also known triplet effort promotes small research project executed american graduate student course year close collaboration academic principal investigator industrial partner including extended stay industrial laboratory utilizing infrastructure enables direct smooth transition industrial environment upon triplet project completion', 'government canada also providing million six year nserc create toward developing research skill training area professional skill communication collaboration mentoring activity trainee initiative involve group accomplished researcher work collaboratively offer defined research training program trainee area aligned nqs priority stakeholder stressed importance linkage international pool talent complement canadian strength alliance international grant enable academic canadian researcher work international trainee academicled project additionally several federal department including immigration refugee citizenship canada global affair canada gac working attract quantum talent canada including quantum expertise list desired qualification beyond nqs government canada funding opportunity support research related quantum technology instance budget proposed million five year starting million thereafter cse establish unique research chair program fund academic conduct research cuttingedge technology relevant cs activity quantum technology improving diversity talent pool ensure canada benefit perspective diverse pool talent critical make diversity inclusion hallmark talent effort nqs representation key field relevant quantum sector currently imbalanced canada missing critical supply new idea talent highly competitive international market nqs provides opportunity make concerted effort build inclusive talent ecosystem area national priority testing new approach attracting diverse talent field supporting underrepresented group career stage addressing systemic bias selection talent quantum workforce government canada commits fostering full spectrum way address representation imbalance support people community advance quantum science technology approach considered nqs program pursue incremental gain representation implementing genderbased analysis approach equity diversity inclusion edi given current reality highly competitive international market talent sustained effort time required realize meaningful progress key consideration development roadmaps nqs mission early stage talent pipeline initiative include let talk science program promote youth skill development engagement science technology engineering math stem since innovation science economic development canada ised provided million enable organization deliver stembased programming early year grade youth build career awareness among student teacher offer careerbuilding volunteer opportunity postsecondary student type activity essential growing expertise quantum technology among people community establishing pipeline supply research business sector additionally program broad communitybased approach encourages youth underrepresented group girl indigenous youth youth disability atrisk youth rural remote location develop lifelong learning habit curiosity toward stem field quantum science technology nserc triagency edi action plan aim support equitable access funding opportunity researcher student example alliance create funding opportunity require grantee report practice support edi alliance grant also include edi integral consideration assessment application perimeter institute initiative enhance edi theoretical physic related field include perimeter scholar international master program international summer school young physicist trained nearly equal number participant across gender attract retain student perimeter also launching psi start program aim increase number undergraduate student underrepresented group pursue study physic program offer online schooling well opportunity select number trainee participate research scientist perimeter', 'talent building worldleading workforce developing attracting retaining talent critical canada succeed quantum science technology talent shortage already faced industry research institution intensify quantum technology product service become available broader use research technical talent critical growing canada national ecosystem also require effort build retain crossdisciplinary quantumliterate workforce diverse background includes business marketing talent support sector growth university collegetrained talent apply quantum technology across economy also need develop complementary social science humanitiesrelated skill ensure advantage arising use quantum technology benefit canadian fair equitable way amid growing international demand limited pool talent canada face particular challenge retaining talent developed building diverse inclusive quantum workforce action date canada quantum talent sought world canadian university taken lead developing talent attracting global researcher doctorate postdoctorate professor level recognizing importance level quantum talent industrial success university bolstered effort develop talent pipeline equipping student industryrelevant quantum competency earlier stage example universit sherbrooke launched bachelor quantum science program develop student early career institute quantum computing launched new master science physic specialization quantum technology arm student skill drive deployment quantum technology expand quantum computerrelated training institut quantique stewart blusson quantum matter institute jointly launched first pancanadian virtual workshop quantum programming investment supported quantum talent development knowledge mobilization example government canada supported talent mobilization quantum sector via million mitacs internship nserc create also successfully used build quantum talent supporting training experience relevant academic nonacademic career four quantumfocused create initiative funded collectively supported trainee research funding also critical training majority research funding go support effort research trainee undergraduate graduate postdoctoral level largerscale research award also contribute attraction development quantum talent way forward attracting developing talent given global competition quantum talent critical canada invest developing retaining quantum expertise canada well accessing global pool talent meet canada current future need respect domestic talent internationally competitive student postdoctoral compensation quality work environment key term international talent canada must make easy possible bring keep quantum expertise work researcher business canada also role play collaboration international partner ensuring inclusive work environment growing overall global talent pool mutual benefit provide talent business academia need successful government canada seek generate new industryready quantum expertise facilitating training workintegrated learning opportunity quantum project postsecondary student college undergraduate graduate level including postdoctoral fellow research talent include supporting innovative research project provide student exposure businessrelated skill development commercialization entrepreneurship project management intellectual property well social science consideration legality ethical use academic research project train develop quantum expert tomorrow multiple discipline also play critical role helping analyze manage risk economics finance management political science college play role developing many supporting skill required advance quantum technology support adoption industry user technology mature capability better understood important develop expertise ethical use quantum technology sustaining industry growth requires creating linkage international pool talent government canada support strategic partnership bring best brightest researcher innovator abroad enable canadian talent gain complementary skill international partner collaboration likeminded nation building effort date nqs strengthen canada talent pipeline bolstering programming delivered mitacs nserc create government announced funding including support nserc create grant march allow development academic quantum expertise area industry priority funding mitacs help industry meet talent need providing internship nqs government canada providing million six year mitacs support attraction training retention deployment highly qualified personnel quantum science technology internship experience professional skill development postsecondary student recent graduate postdoctoral fellow industry internship help transition talent industry retain expertise canada internship also serve powerful tool attract international trainee canada example mitacs accelerate international support bilateral research collaboration intern university industry partner canada abroad allowing trainee partner country undertake project canada']"
1,30,1_postquantum_cryptography_communication_secure,"['postquantum', 'cryptography', 'communication', 'secure', 'network', 'data', 'security', 'sensitive', 'canadian', 'government']","['ensure privacy cybersecurity canadian quantumenabled world national secure quantum communication network postquantum cryptography initiative', 'ensure privacy cybersecurity canadian quantumenabled world national secure quantum communication network postquantum cryptography initiative', 'mission ensure privacy cybersecurity canadian quantumenabled world national secure quantum communication network postquantum cryptography initiative activity vital everyday livesincluding commercial financial transaction government service delivery development maintenance transportation utility infrastructure ensuring defence security canadian moredepend secure data usage storage transmission quantum technology advancement could put security digital data system risk due potential break many cryptographic mechanism currently used protect personal research commercial government information encrypted information transmitted today stored compromised future powerful quantum computer quantumsafe solution using quantum technology postquantum cryptography protect data threat immense commercial market tied transmitting securing data increasing interconnectedness device well opportunity government canada adopt quantumsafe solution future become commercially available imperative develop capability secure quantum communication postquantum cryptography safeguard citizen strengthen economy achieving require developing partnership among government researcher industry investing postquantum cryptography building canada early strength secure quantum communication work toward national secure quantum network canadian system must also able interface international partner provide maximum economic benefit inspire confidence integrity data canada home preeminent researcher company developing postquantum cryptography secure valuable data capability value canadian ally government canada work collectively ensure security wellbeing citizen ultimately national quantum communication network combined postquantum cryptography could enhance security highly sensitive information critical application infrastructure network would include land satellitebased infrastructure significantly beyond current canadian international capability future quantum internet could also used canadian industry financial sector need transmit highly sensitive information ensure network interoperable trusted international partner completing mission would create madeincanada quantum communication solution would secure canadian economy digital sovereignty build confidence canadian provider quantumsafe communication solution among trusted international partner government canada also prioritize formation domestic international industryacademia partnership build quantum cybersecurity capacity involve training mobilizing expert advance quantum cryptography quantum communication well expanding pool talent skilled integrating quantum communication quantum cybersecurity technology different industry sector support required develop commercially viable quantum key distribution continue engagement standardization activity integrate cryptographic scheme existing securitybased software architecture long term conformity industry standard important factor procuring solution work mission already begun government canada led communication security establishment undertaken activity ensure highly sensitive data holding protected quantum threat activity coordinated international ally maintain interoperability identification government canada system data less sensitive still potentially risk ongoing effort use standardized postquantum cryptography critical securing additionally government canada initiated quantum encryption science satellite qeyssat project several government organization academic institution private mission strategy partner project one first test satellitebased secure quantum communication demonstration expected launched coming year nrc high throughput secure network challenge program supporting collaborative project quantum communication industry academia government department since june isc launched call support precommercial quantum communication prototype tested reallife setting address variety federal government priority']"
2,20,2_research_collaborative_community_quantum,"['research', 'collaborative', 'community', 'quantum', 'discipline', 'collaboration', 'engineering', 'work', 'partner', 'industry']","['consulted widely work strategy would like thank contributed call evidence participated workshop discussion particularly grateful advice partner national quantum technology programme independent strategic advisory board chaired sir peter knight institute physic institution engineering technology techuk royal academy engineering ukquantum support', 'international partnership quantum science technology global effort want work ally partner achieve mutually beneficial outcome whilst ensuring play leading role already take open collaborative approach quantum research recent international network call run epsrc alone resulting university partnering organisation country quantum technology fundamental physic qtfp programme started generated twentysix unique international link seven large consortium across country', 'among top nation producing quantum scholarly output rank quality impact quantum science based fieldweighted citation impact maintain top position quality quantum science publication whilst increasing volume research publication since funded postgraduate research student working quantum technology related discipline funded additional postgraduate research student quantum relevant discipline bilateral arrangement quantum collaboration bilateral arrangement leading quantum nation based substantive collaborative work programme support business making goto place quantum businessesand integral part global supply chain well preferredlocation investor global talent']"
3,18,3_million_mission_acceleration_pnt,"['million', 'mission', 'acceleration', 'pnt', 'procurement', 'quantumcomputing', 'networking', 'focussed', 'longerterm', 'quantum']","['develop new acceleration programme quantum technology support thesector capitalising market opportunity acceleration programme help tospeed commercialisation industrialisation linking sector endusers byfocussing system integration roadmapping application realworlddemonstrations start additional million next two year tofund accelerator quantum networking collaborative programme industry', 'million acceleration activity working sector collaborative inquantum networking million additional funding increased activity national quantumcomputing centre', 'deliver mission focussed achieving societal benefit commercial value startingwith two mission accelerating quantum technology resilient capability inposition navigation timing pnt demonstrating advantage quantumcomputing consult community key industry domesticallyand internationally continue work developing set longerterm missionsover coming year']"
4,19,4_stuttgart_quality_metrology_optical,"['stuttgart', 'quality', 'metrology', 'optical', 'comparability', 'fibre', 'imaging', 'frequency', 'optic', 'single']","['logo federal ministry education research quantum technology conceptual framework programme federal government nonlinear optical source entangled photon technology basis quantum frequency converter', 'inside vacuum chamber physicist max planck institute quantum optic trap single atom two crossed optical resonator formed two glass fibre seen crossing point setup enables nondestructive detection photonic qubits', 'establish quality infrastructure reliable quantum metrology create independent characterisation qualification standardisation specificcomponents quantum technology bmwk bmbf']"
5,17,5_international_cooperation_collaboration_partnership,"['international', 'cooperation', 'collaboration', 'partnership', 'qi', 'united', 'partner', 'likeminded', 'advancing', 'identify']","['continue develop international collaboration cooperation', 'provide additional funding international collaboration new internationalscience partnership fund', 'advancing international cooperation seek increase international cooperation likeminded industry government partner']"
6,15,6_business_infrastructure_company_overseas,"['business', 'infrastructure', 'company', 'overseas', 'chain', 'support', 'supply', 'fabrication', 'location', 'access']","['support business making goto place quantum business andan integral part global supply chain well preferred location forinvestors global talent', 'support business making goto place quantum business anintegral part global supply chain well preferred location investor andglobal talent', 'attracting quantum business much quantum business sector formed homegrown talent nurtured university quantum hub established larger company also important place quantum company overseas ecosystem already attractive location due strength quantum science supply chain wider businessfriendly environment support innovation talented quantum skill base example recent return quantum computing firm psiquantum establishment quantum computing research centre daresbury northwest england demonstrated confidence competitiveness uk quantum sector ibm worked government establish hartree national centre digital innovation brings together worldleading expertise quantum computing support application industry public sector build programme investment opportunity attract quantum company fromoverseas proactively support quantum business want come ukworking department business trade']"
7,14,7_computer_qubits_hardware_computing,"['computer', 'qubits', 'hardware', 'computing', 'suitable', 'application', 'internationaldevelopments', 'ondifferent', 'software', 'quantum']","['promote development quantum computinghardware opentechnology manner based ondifferent realisation qubits basic researchto computing application donewith aim developing universal quantumcomputer germany par internationaldevelopments least individually controllable qubits scalable qubits inthe medium term addition highperformancespecial hardware shall developed suitablefields application', 'develop quantum computing hardware based ondifferent approach applicationorientedmanner striving universalquantum computer par internationaldevelopments least individually controllable qubits scalable qubits medium term addition highperformance specialhardware developed suitable field ofapplication bmwk bmbf', 'five principal quantum technology quantum computer type computer harness behaviour microscopic element size atom perform calculation potential application include machine learning design pharmaceutical advanced material chemical process resolution optimization problem finance logistics critical domain quantum software software algorithm run quantum computer enable efficient operation design quantum computer software enables development optimization quantum computing application']"
8,14,8_fraunhofer_fraunhofergesellschaft_cap_germany,"['fraunhofer', 'fraunhofergesellschaft', 'cap', 'germany', 'computing', 'deutschland', 'centre', 'inthe', 'conducting', 'development']","['fraunhofergesellschaft support development technology field quantumcomputing particular setting nationwidecompetence network quantum computingand within framework cooperation withibm deutschland gmbh invests considerableresources make system ehningen available scientific community industrysmes startup conducting research inthe field quantum computing alone andas member consortium continuation thecooperation ibm beyond current contract envisaged', 'fraunhofergesellschaft working intensively key emerging technology since already provided funding flagship quilt project focus quantum imaging high demand scientific excellence strong application potential first largescale research activity complementary fraunhofergesellschaft provides german landscape access already existing quantum computer including germaneuropean legal data base data locality future fraunhofergesellschaft continue specifically promote potential quantum technology germany europe particularly see opportunity following area targeted development competence systemsto help shape scientific technological paradigmshift', 'fraunhofer centre applied photonics cap glasgow fraunhofer cap worldleading centre applied laser research development important application quantum technology located technology innovation centre university strathclyde fraunhofer cap play important role tying together photonics quantum cluster scotland conducting industrydriven research support development new product adoption fraunhofer cap responsible enabling commercialisation quantum technology many governmentsupported project national quantum technology programme included development miniature device laser photon source coldatom sensor optical ground receiver satellite qkd fraunhofer also prominent position across technology sector space defence netzero health']"
9,15,9_canada_canadian_commercialization_stakeholder,"['canada', 'canadian', 'commercialization', 'stakeholder', 'strategy', 'quantum', 'innovation', 'government', 'ecosystem', 'investment']","['commercialization translating research commercial outcome driven development new technology promise economic societal benefit many nation around world pursuing commercial development quantum technology canada early mover leading many quantum first canadian quantum entrepreneur wellpositioned take advantage opportunity canada growing ecosystem startup service provider larger domestic multinational firm recent statistic canada analysis quantum company show healthy growth increase number company increase average sale increase employment number canadian business also beginning coordinate activity establishing industry association quantum industry canada technology mentoring program creative destruction lab spurred growth quantum sector helping launch quantum firm four quantum stream large multinationals marketplace canadian company need resource compete effectively addition addressing challenge securing investment sector need scale identifying canadian first adopter product growing connection international supply chain canadian firm government could benefit adopting new quantum innovation need play active role working quantum sector drive product development enhance ability succeed competitive technologicallyenabled global environment', 'next step strengthen canada quantum ecosystem government canada allocated million dedicated funding delivered though funding call support aligned strategy addition government support quantumenabled future leverage number current anticipated broadbased largescale program critical fostering canada strength quantum research innovation commercialization growth success canadian ecosystem quantum technology evolving quickly technology mature opportunity challenge become clearer government canada may explore additional action support canadian excellence meet need quantum community government canada also maintain ongoing dialogue stakeholder province likeminded nation ensure canada positioned succeed quantumenabled future', 'strategy recognizes strength built many year hard work investment represents new canada quantum story national quantum strategy nqs aim amplify canada significant strength quantum research grow canadian quantumready technology company talent solidify global leadership quantum science commercialization government canada continue engage stakeholder ensure nqs remains right course government canada committed incremental million seven year starting support strategy implementation addition support quantumenabled future leverage number current anticipated broadbased largescale government program critical expanding canada strength quantum research innovation commercialization key instrument advancing growth success canadian quantum ecosystem example include strategic innovation fund sif support largescale transformative collaborative project promote competitiveness canadian industry advancement canada technological advantage clean growth']"
