Actor,Category,Degree_Centrality,Betweenness_Centrality
Canada Foundation for Innovation,Government,0.7647058823529412,0.2356811145510836
Global Affairs Canada,Government,0.7647058823529412,0.2356811145510836
Business Development Bank of Canada,Government,0.5751633986928105,0.31991744066047473
"Innovation, Science and Economic Development Canada",Government,0.41830065359477125,0.038183694530443756
D-Wave,Industry,0.39869281045751637,0.0
Creative Destruction Lab,Civil Society,0.39869281045751637,0.0
DRDC,Government,0.39869281045751637,0.0
Defence Research and Development Canada,Government,0.39869281045751637,0.0
Department of National Defence,Government,0.39869281045751637,0.0
DND,Government,0.39869281045751637,0.0
ISED,Government,0.39869281045751637,0.0
Government of Quebec,Government,0.39869281045751637,0.0
IBM,Industry,0.39869281045751637,0.0
Horizon Europe,not an actor,0.39869281045751637,0.0
IBM Quantum Hub,Industry,0.39869281045751637,0.0
IDEaS,not an actor,0.39869281045751637,0.0
IQC,Academia,0.39869281045751637,0.0
IBM Q System One,not an actor,0.39869281045751637,0.0
Internet of Things,not an actor,0.39869281045751637,0.0
Innovation for Defence Excellence and Security,not an actor,0.39869281045751637,0.0
Institut Quantique,Academia,0.39869281045751637,0.0
Institute for Quantum Computing,Academia,0.39869281045751637,0.0
Mitacs,Civil Society,0.39869281045751637,0.0
Invest in Canada,Government,0.39869281045751637,0.0
NSERC CREATE,not an actor,0.39869281045751637,0.0
Communications Security Establishment,Government,0.39869281045751637,0.0
Statistics Canada,Government,0.39869281045751637,0.0
Social Sciences and Humanities Research Council,Government,0.39869281045751637,0.0
Sherbrooke Quantum Innovation Zone,Civil Society,0.39869281045751637,0.0
Secure Networks Challenge Program,not an actor,0.39869281045751637,0.0
Xanadu,Industry,0.39869281045751637,0.0
World Economic Forum,Civil Society,0.39869281045751637,0.0
Université de Sherbrooke,Academia,0.39869281045751637,0.0
University of Waterloo,Academia,0.39869281045751637,0.0
UKRI,Government,0.39869281045751637,0.0
UK Research and Innovation (UKRI),Government,0.39869281045751637,0.0
U.S. National Science Foundation,Government,0.39869281045751637,0.0
Tri-Agency EDI Action Plan,not an actor,0.39869281045751637,0.0
Trade Commissioner Service,Government,0.39869281045751637,0.0
The Department of National Defence and Canadian Armed Forces Quantum Science and Technology (S&T) Strategy,not an actor,0.39869281045751637,0.0
TCS,Government,0.39869281045751637,0.0
Stewart Blusson Quantum Matter Institute,Academia,0.39869281045751637,0.0
Quantum Valley Ideas Lab,Civil Society,0.39869281045751637,0.0
Quantum Technologies Competition,not an actor,0.39869281045751637,0.0
Quantum Industry Canada,Civil Society,0.39869281045751637,0.0
Quantum Advisory Council,Government,0.39869281045751637,0.0
SSHRC,Government,0.39869281045751637,0.0
S&T Strategy,not an actor,0.39869281045751637,0.0
S&T,not an actor,0.39869281045751637,0.0
Council,not specfied,0.39869281045751637,0.0
Bank of Canada,Government,0.39869281045751637,0.0
Canada Excellence Research Chairs Program,not an actor,0.39869281045751637,0.0
